id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season
4071,Íñigo López,21,1792,0,0.3746458627283573,0,0.0950158778578043,7,3,6,2,D,Cordoba,0,0.3746458627283573,1.2905924646183848,1.169645712710917,LaLiga,1415
4072,Deivid,21,1808,0,0.5832093730568886,0,0.2928170254454016,6,13,4,0,D M,Cordoba,0,0.5832093730568886,2.343040174804628,2.02850728854537,LaLiga,1415
4073,Filipe Augusto,6,140,0,0.1352685764431953,0,0.0,3,0,2,0,M S,Valencia,0,0.1352685764431953,0.1700819451361894,0.0348133705556392,LaLiga,1415
4075,Loukas Vyntra,27,2366,0,0.3757679220288992,0,0.0226732660084962,5,1,4,1,D S,Levante,0,0.3757679220288992,1.6809675409458578,1.6582942768000066,LaLiga,1415
4076,Jason,2,51,0,0.0865023210644722,0,0.1122784242033958,1,1,0,0,S,Levante,0,0.0865023210644722,0.198780745267868,0.0,LaLiga,1415
4077,Sergio Sánchez,21,1708,0,0.3758726213127374,0,0.4967535389587283,5,4,7,0,D S,Malaga,0,0.3758726213127374,1.8259882209822536,1.3142378255724907,LaLiga,1415
4078,Adrián Gunino,23,1942,0,0.015095280483365,0,0.5893252724781632,1,13,4,0,D S,Cordoba,0,0.015095280483365,2.7668896643444896,2.4260107688605785,LaLiga,1415
4080,Iago Bouzón,3,228,0,0.0235257409512996,0,0.0,1,0,2,0,D,Cordoba,0,0.0235257409512996,0.0,0.0,LaLiga,1415
4082,Dani Romera,5,50,0,0.4983221590518951,0,0.0,1,0,0,0,S,Almeria,0,0.4983221590518951,0.5865182969719172,0.088196137920022,LaLiga,1415
4083,Jona,4,360,0,0.0,0,0.0,0,0,1,0,GK,Getafe,0,0.0,0.0870839385315775,0.0870839385315775,LaLiga,1415
4084,Naldo,30,2574,0,0.5678509138524532,0,0.0463981553912162,6,1,5,0,D S,Getafe,0,0.5678509138524532,1.7267909129150212,1.680392757523805,LaLiga,1415
4087,Álex Felip,10,79,0,0.0682015046477317,0,0.3088536560535431,3,1,0,0,S,Getafe,0,0.0682015046477317,0.3689173217862844,0.0158363003283739,LaLiga,1415
4088,Álvaro Arroyo,12,894,0,0.084119951352477,0,0.2484445972368121,4,4,3,0,D S,Getafe,0,0.084119951352477,0.9064271906390786,0.6840409114956856,LaLiga,1415
4089,Jairo Morillas,3,61,0,0.0293087791651487,0,0.0861928611993789,1,1,0,0,S,Espanyol,0,0.0293087791651487,0.1481486707925796,0.0619558133184909,LaLiga,1415
4090,Felipe Mattioni,4,26,0,0.0332875996828079,0,0.0,1,0,0,0,S,Espanyol,0,0.0332875996828079,0.2162097990512848,0.1829221993684768,LaLiga,1415
4091,Unai López,19,835,0,0.7459373697638512,0,0.4197515975683927,10,7,2,0,M S,Athletic Club,0,0.7459373697638512,1.4996635541319847,0.4321985989809036,LaLiga,1415
4092,Aurtenetxe,4,286,0,0.0805768426507711,0,0.3781667351722717,2,1,0,0,D S,Athletic Club,0,0.0805768426507711,0.9005506243556738,0.8199737817049026,LaLiga,1415
4095,Jordi Codina,5,450,0,0.0,0,0.0,0,0,0,0,GK,Getafe,0,0.0,0.1629488114267587,0.1629488114267587,LaLiga,1415
4097,Iker Casillas,32,2880,0,0.0,0,0.0,0,0,0,0,GK,Real Madrid,0,0.0,5.98019599262625,5.98019599262625,LaLiga,1415
4099,Cezary Wilk,11,603,0,0.2223222777247429,0,0.0,7,0,2,0,M S,Deportivo La Coruna,0,0.2223222777247429,0.4620511056855321,0.2397288186475634,LaLiga,1415
4102,Juan Carlos,5,365,0,0.0,0,0.0,0,0,0,0,GK S,Villarreal,0,0.0,0.3635174930095672,0.3635174930095672,LaLiga,1415
4103,Daniel Candeias,11,522,0,0.2204451709985733,1,0.1431237971410155,7,4,1,0,M S,Granada,0,0.2204451709985733,0.4087835764512419,0.1060172915458679,LaLiga,1415
4104,Adrián Colunga,4,222,0,0.2825266569852829,0,0.1139133162796497,4,3,0,1,F M S,Granada,0,0.2825266569852829,0.5175991021096706,0.139101542532444,LaLiga,1415
4106,Roberto,23,2070,0,0.0,0,0.0198969803750515,0,1,3,0,GK,Granada,0,0.0,1.6054182518273592,1.6054182518273592,LaLiga,1415
4107,Unai Bustinza,2,96,0,0.0,0,0.0,0,0,0,1,D S,Athletic Club,0,0.0,0.0,0.0,LaLiga,1415
4110,Aarón Ñíguez,21,1179,0,2.3528268868103623,1,1.039835781790316,29,12,5,0,M S,Elche,0,1.6095492178574204,5.549472861923277,3.258447924628854,LaLiga,1415
4112,Coro,34,1201,0,1.7261536791920662,1,1.2530246954411268,22,13,3,0,F M S,Elche,0,1.7261536791920662,3.015501257032156,0.6804625168442726,LaLiga,1415
4114,Domingo Cisma,25,2157,0,0.2675012163817882,1,1.4189175870269537,2,22,9,1,D S,Elche,0,0.2675012163817882,5.771318722516298,5.078039346262813,LaLiga,1415
4115,Manu Herrera,7,555,0,0.0,0,0.0,0,0,0,0,GK S,Elche,0,0.0,0.0165290813893079,0.0165290813893079,LaLiga,1415
4116,Sergio Pelegrín,10,725,0,0.0,0,0.0,0,0,2,0,D S,Elche,0,0.0,1.5379019863903522,1.5379019863903522,LaLiga,1415
